glyph,certainty,min_x,min_y,max_x,max_y,image_path
Ν,0.1487650131802606,1310,742,1364,801,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.14346821273025695,1357,744,1400,799,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.13232374196329688,1393,742,1444,800,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.12034555741724264,1438,743,1483,800,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.17145983304137866,4031,746,4093,797,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16636529894947566,4089,745,4141,798,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16343635888416227,4139,744,4190,796,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1482451630504368,4170,746,4224,796,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.12805143582743259,4183,746,4229,798,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.11698150055176665,1101,747,1146,801,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1571206791304194,3099,753,3159,810,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15042127990703194,3155,756,3208,810,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.12573740819494972,3204,757,3245,811,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.12375148158748243,3243,756,3308,813,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16893336398526407,3305,756,3356,812,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15613161707770473,3348,753,3401,815,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.11936069664333952,3391,756,3441,814,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.11650921828620661,3435,756,3488,810,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.13822133532839076,1099,809,1158,861,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15339757010500885,1154,811,1194,863,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.17042954263357746,1187,810,1231,863,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Δ,0.2845338182740515,1230,811,1285,865,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16792541516012893,4066,810,4108,866,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15997245618789493,4094,812,4136,864,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.4527856700540171,4130,813,4181,863,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.35418841870551615,4177,815,4226,863,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15242270154190343,1298,814,1351,870,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16207816958088658,1348,814,1415,868,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.17854212379420528,1386,814,1429,867,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.13596213329329326,1414,812,1455,869,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15470596909265025,3086,819,3132,878,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1506755123637316,3123,818,3167,876,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1658222684247153,3161,820,3218,876,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15940849785573843,3216,820,3248,875,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.47064803581334147,3242,820,3289,874,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.6641422945406716,3283,820,3327,872,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.15104652200001,3323,819,3368,876,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.14243405624991842,3362,820,3418,879,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.11927582202492673,3412,818,3459,878,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.13727165630893456,3448,814,3495,877,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Τ,0.19744878076676584,3487,812,3541,871,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.18751091384432073,2276,829,2320,874,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.6751284985809,2314,830,2357,873,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1473776333427656,3937,868,4014,930,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Τ,0.2167787056860733,4005,870,4060,927,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.13996023070695213,4057,876,4104,928,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.6447681864225302,4100,876,4165,927,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.11835699501679667,4159,877,4205,924,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Υ,0.7988761513939735,4197,873,4249,927,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Δ,0.18942577448152437,4237,868,4298,928,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16941832122100264,1079,878,1135,932,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.1776087864326285,1123,882,1173,933,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.5872149317944709,1168,884,1224,934,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.35697368838701327,1227,880,1286,931,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.4732384175907386,1276,878,1327,933,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.40740126198473203,1323,878,1359,934,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Π,0.7244560412343284,1354,878,1426,934,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Η,0.6995048596490985,1424,879,1484,934,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.9823092990467415,3091,884,3154,941,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.966602583475845,3149,886,3202,941,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.9931658378378696,3197,883,3260,939,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.7356845286700222,3256,886,3309,936,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.2035029366484736,3302,889,3356,937,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.12022444442423576,3349,890,3380,938,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16024777018801575,2071,888,2120,938,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.9052874391271942,2114,892,2166,941,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.990918242224853,2162,884,2225,942,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.9883067660260452,1077,940,1137,996,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Μ,0.9990363589775277,1133,941,1211,996,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.9002607432522365,1206,942,1260,994,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.9807248031095682,1255,940,1314,994,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Η,0.217594570583819,1308,942,1383,996,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ρ,0.15934753681816513,1379,947,1421,999,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.8154902542102395,1418,947,1467,999,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Θ,0.9784568012372707,1462,947,1514,999,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.28475347589409117,1512,949,1557,998,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16588958989211722,2927,941,2984,1004,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.9204816037770162,2980,949,3032,1003,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ρ,0.9948717462151967,3029,950,3067,1004,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.828367051425511,3066,950,3097,1004,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.7906679280003694,3094,952,3144,1003,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.9383370583647825,3136,949,3188,1003,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.9985313144018115,3186,948,3249,1002,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ω,0.967446554008327,3249,949,3325,999,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.8555937088648845,3324,948,3372,1000,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.5289599165796299,3365,948,3415,1001,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Μ,0.8061791973616704,1979,948,2049,1008,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.993920411165009,2043,953,2097,1003,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.9991136312673243,2092,952,2157,1006,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.8139624966495723,2156,956,2204,1005,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Υ,0.47710048613721745,2194,954,2250,1010,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.2960245540283194,2243,958,2293,1012,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.13883043336034917,3867,949,3899,995,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.31127271805974827,3882,941,3931,1000,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Π,0.6677135696058102,3929,941,4001,998,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.964007643187268,3994,943,4045,999,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.2859593294404182,4039,945,4086,997,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.8122488679798309,4078,941,4129,997,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.9926397772889747,4122,942,4192,997,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.9825207106973937,4188,943,4245,996,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Μ,0.9952363328407685,4237,938,4317,998,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.46629603818806525,4311,938,4365,996,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16163099397154487,887,1005,931,1055,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Τ,0.2117946499931196,924,1006,976,1057,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.2414795296022684,970,1011,1016,1056,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.5568011448889503,1010,1006,1057,1060,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.5269533893132851,1051,1006,1095,1055,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.9930912221124986,1088,1002,1139,1058,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ρ,0.9097919515248089,1134,1004,1175,1059,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.9975644471596576,1167,1003,1221,1056,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Κ,0.9937773101706118,1217,1002,1271,1056,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.7284921811497016,1263,1004,1319,1056,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.6413299980576828,1314,1005,1363,1055,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.5395648441888422,1352,1005,1375,1052,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Τ,0.7061386359685,1371,1003,1425,1056,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.8842492918461908,1414,1007,1469,1062,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.41055198567730705,1459,1009,1501,1061,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.255936289790287,1497,1011,1562,1061,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.18149115890565018,1848,1006,1901,1066,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.3086563118503072,1903,1011,1959,1066,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.9800006916211513,1958,1017,2003,1067,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.9190809208414668,1997,1018,2039,1067,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.9196741180513991,2031,1017,2077,1067,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Π,0.35196569048000487,2070,1013,2137,1066,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.989440240918538,2133,1016,2184,1068,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.9947286672563644,2180,1016,2240,1068,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Τ,0.8625581624547676,2233,1015,2291,1066,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ο,0.8792578573392561,2280,1018,2328,1071,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.16522154240236592,3801,1009,3862,1060,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.9348746162417141,3858,1013,3903,1062,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ρ,0.9877907102538727,3899,1013,3933,1062,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Π,0.7423971499858141,3930,1010,3995,1063,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ι,0.9186447924277023,3996,1010,4036,1063,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Κ,0.9875540120150155,4032,1009,4088,1062,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ε,0.9811601823273454,4081,1010,4125,1061,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ρ,0.9835169725373486,4119,1008,4160,1062,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Α,0.9009276125101308,4153,1008,4205,1062,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Υ,0.6247376817904121,4193,1005,4247,1062,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ν,0.5582095472636261,4239,1007,4301,1063,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ω,0.9837703742190482,4296,1007,4372,1059,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
Ϲ,0.12669050300753135,3728,1010,3783,1064,Bodleian_Library_MS_Gr_class_a_1_P_1_10_00008_frame_8.jpg
